first_name,last_name,total_hours,company_name,job_title
Pauletta,Stood,33.46,"Hamill, Trantow and Terry",Chief Design Engineer
Ernaline,Shotbolt,35.49,Rippin-Dibbert,Financial Analyst
Felix,Halsho,42.99,McClure Group,Structural Analysis Engineer
Venita,Hayto,29.72,Mitchell Inc,Technical Writer
Brier,Figures,36.83,Pfannerstill-Prohaska,Structural Engineer
Mozes,Bulgen,31.26,Mayer-Gulgowski,Staff Scientist
Rosene,Hayden,43.44,"Crona, Stokes and Hilpert",Librarian
Mildrid,Pomphrett,36.82,Roberts Inc,Graphic Designer
Isabella,Austing,36.7,Gerlach-Price,Professor
Larisa,Merrgen,31.09,Grant LLC,Operator
Base,Bernot,46.63,"Fay, Hane and Grady",Teacher
Karoly,McLardie,29.26,Ernser and Sons,Mechanical Systems Engineer
Kip,McGregor,44.46,"Kautzer, Pfannerstill and Rau",Design Engineer
Laurent,Gunda,29.39,Green-Funk,Analyst Programmer
Marjie,Everleigh,40.19,Collier-Oberbrunner,Nurse
Avram,Dron,30.05,Kreiger-Metz,Statistician III
Willyt,Neighbour,36.24,Gorczany-Boyle,Legal Assistant
Marne,Petyanin,43.22,Luettgen-Zboncak,Dental Hygienist
Bernita,Allchorne,27.78,Roob-Balistreri,Chief Design Engineer
Beverly,Gioani,33.8,Marvin-Connelly,VP Product Management
Denney,Gaveltone,33.99,Cole-Dietrich,Assistant Manager
Cybill,Baudacci,33.51,"Prosacco, Crona and Langworth",Recruiting Manager
Brew,Blose,45.04,"Graham, Davis and Haag",Account Coordinator
Sharai,Rivenzon,25.32,Cole and Sons,Technical Writer
Friedrich,Biernat,39.52,Ruecker-Block,Research Associate
Kat,Jan,27.73,Fadel-Conn,Cost Accountant
Tye,De Mico,36.28,Goodwin Inc,Operator
Fallon,Wolffers,40.49,Farrell Group,Statistician III
Franny,Casburn,46.81,Osinski-Blick,Engineer I
Damita,Fraschetti,33.28,"Reynolds, Daniel and Barton",Biostatistician IV
Rosette,Sanham,34.21,Mosciski-Lang,Executive Secretary
Hebert,Chaloner,37.98,Kreiger Inc,Chief Design Engineer
Dusty,Crumpton,29.52,Lueilwitz and Sons,Chemical Engineer
Antons,Hoyes,44.12,Harber Inc,Clinical Specialist
Sayre,Kitcatt,35.3,Thompson-Schmeler,Safety Technician IV
Brunhilde,Vipan,42.55,Bechtelar-Rodriguez,Administrative Assistant I
Skippie,Izhak,38.09,Stanton-Weimann,Web Designer II
Madalyn,Aylward,35.98,"Fadel, Walker and Abshire",Physical Therapy Assistant
