first_name,last_name,total_hours,company_name,job_title
Roley,Ruddick,32.46,Schultz-Leffler,Clinical Specialist
Dorita,Alenov,42.44,Christiansen-Fisher,Developer III
Ethelred,Tuddall,42.48,Marvin and Sons,GIS Technical Architect
Judye,Rigden,44.9,Kreiger-Tromp,Media Manager IV
Alvinia,Pratley,39.89,"Christiansen, O'Kon and Lynch",Accountant III
Rici,Croley,37.55,"Schowalter, Cassin and Haag",Nurse
Mahmud,Musico,30.87,Hilll LLC,Actuary
Gabriela,Ablett,47.38,Weimann Inc,Media Manager IV
Grace,Byres,29.8,Osinski and Sons,Human Resources Manager
Robyn,Connett,37.76,Murray-Hills,Tax Accountant
Sandye,Defew,39.15,Johnson LLC,Software Engineer III
Wilmar,Sockell,27.07,"Little, Cronin and Hilpert",Help Desk Operator
Melitta,Antognoni,39.43,Stark Inc,Assistant Media Planner
Carmella,Francois,27.65,"Renner, Daugherty and Satterfield",Senior Financial Analyst
Sherm,McDill,44.5,Marquardt Group,Environmental Tech
Anita,Stiebler,38.07,Gibson-Waters,Data Coordinator
Pernell,Killcross,34.86,West Inc,Senior Sales Associate
Parke,Doiley,26.71,Paucek and Sons,Senior Editor
Adiana,Olney,33.74,Lubowitz-Hickle,Environmental Specialist
Mac,Willshere,46.99,Walker-Dooley,Executive Secretary
Nancey,Eathorne,35.31,"Robel, Hyatt and Reichel",Accounting Assistant IV
Virgie,Garken,42.5,Schroeder-Keeling,VP Marketing
Eldridge,Leyninye,46.06,"Cartwright, Waelchi and O'Keefe",Dental Hygienist
Irvin,Corey,36.95,"Orn, Dach and Konopelski",Junior Executive
Myranda,Luckie,47.19,Mann and Sons,Information Systems Manager
